"What grade do you prefer to climb?"
12
10
13
12
10
10
10
10
12
10
8
10
11
11
10
11
10
10
10
8
10
11
10
10
10
12
13
11
10
10
12
12
10
12
11
10
10
10
11
10
12
11
11
12
10
10
11
10
10
10
11
12
10
11
11
12
10
10
10
10
9
9
10
12
11
12
11
11
13
9
12
13
10
10
10
11
10
10
10
9
13
8
10
10
10
9
10
9
12
10
13
10
10
9
12
12
12
10
11
11
10
11
10
10
10
9
10
10
11
10
10
10
11
11
10
10
11
12
11
10
10
10
11
10
10
9
10
11
10
11
10
12
10
9
8
12
10
10
11
12
12
10
10
12
13
5
10
12
11
10
12
11
9
10
10
11
10
8
11
10
10
10
10
11
11
10
11
12
10
9
13
13
11
10
13
11
10
10
13
11
10
10
10
11
9

WI6
WI4
WI4
WI4
WI3
WI4
WI4
WI7
WI4
WI4

M5
M2-3
M6
M9

V5
V4
V5
V8
V6
V5
V3
V5
V5
V4
V4
V4
V7
V4
V5
V5
V4
V4
V3
V8
V3
V6
V6
V8
V3

"Anything but choss"
"Boulder - everything from Vfun to V6, Lead - projecting 5.12, onsighting 11s, Trad - nothing over 5.8, TR - whatever is super hard or scary that my friends put up"
"Easier grades"
"Anything really.  My goal was to climb all the routes listed in the guide at nemo."
5.fun+
"As hard as I can at the particular time"
"Anything fun"
