How many years have you been climbing in total? (includes gym climbing)
9
20
30
9
18
1.5
15
6
15
4
3
4
16

10
38 years  +5000 M of rock +5000 M ice
12
15
9
3 is
11
3
21
2
15
2 years
7
15
2
1
1.5
9
12
4
6
10
9
6
3
2.5
12
10
2
10
2
5
7
12
20
6
7
5
3
12
8
1.5
3.5
1.5
2.5 yrs
6
13
7
2
12
3
8 years
1
6
21
6
1.5
10
8
Over 10 years.
22
14
8
5 years
7
42 years...
10
4
0.5
20
7
10
2.5 years
3
15
6
4
4
2
0.5
22
39 yrs
35
4
8
1.5
19
2.5
8
24
3
5 years
2
1.5
9
4
2 years
8
11
8 years
1.5
8
1 year and a few months
1.5
4
10
3
1.5
12 years
2
2
11
2
13
3
3
4
3
3
21
6
3
7
17
4
35
16
10
8
1
5
7
5
7.5
9
2
19
>10
7
20
5
14
5
9
15
11
4
2
5
18
5
8
10
19
4 years
10
10
10
9
12
6
10
Less than 1
4
3
6
2 years
4
2+yrs
16
9
3
20
6
6
1.8
12
3
15
2
1.5
2
7
7
25
2.5
6
4 years
7
5
7
9 months
4
25
4
2.5
